glacier;§YGlacial§!\nThe Glacial terrain represents areas with very harsh and cold conditions, often with permanent snow coverage and glaciers. Areas with Glacial terrain are almost completely inhospitable for settlement or military manoeuvres.;;;;;
impassable_mountains;§YImpassable Mountains§!\nImpassable Mountains terrain represents areas of mountains too inhospitable or too difficult for an army to manoeuvre in.;;;;;
mountain;§YMountain§!\nMountain terrain represents areas mainly occupied by rugged mountain ranges and narrow passes, often on high altitude and in a cold climate.;;;;;
farmlands;§YFarmlands§!\nFarmlands terrain represents highly cultivated areas where the landscape is dominated by agriculture and towns or villages.;;;;;
grasslands;§YGrasslands§!\nGrasslands terrain represents areas of farmland where the vegetation is dominated by grass.;;;;;
coastline;§YCoastline§!\nCoastline terrain represents the narrow areas where land and sea meet, comprised of cliffs or sand dunes.;;;;;
steppe;§YSteppes§!\nSteppes terrain represents large and continuous open areas covered in grass that are suitable for grazing yet unsuitable for agriculture.;;;;;
drylands;§YDrylands§!\nDrylands, also known as badlands, represents large areas of barren, rocky and treeless flatland, often found at the edge of deserts or in particularly dry mountain valleys.;;;;;
craglands;§YCraglands§!\nCraglands represent areas, often coastal, of extremely rocky and uneven earth. They often have little to no-vegetation and can prove hazardous not unlike reefs. They are particularly common along Morrowinds inner sea and along the Sheogorad region of Vvardenfell.;;;;;
savannah;§YSavanna§!\nSavanna terrain represents large grass-covered areas with a high degree of trees mixed in.;;;;;
hot_springs;§YHot Springs§!\nThere are many hot springs wherever volcanic activity is found. It is not uncommon to see Nords or Ashlanders soaking in these mineral-rich waters for their healing properties and comfort amidst the cold.;;;;;
salt_plains;§YSalt Plains§!\nA salt plain occurs after the evaporation of a vast body of saltwater. Most salt plains in Tamriel are found along coastal lowlands. These lands are mostly vacant and harsh, but they do harbour rare minerals and make for great Saltrice plantations.;;;;;
forest;§YForest§!\nForest terrain represents areas of densely packed trees, lots of leaves and thick underbrush. The terrain can be difficult to see through and even harder to navigate.;;;;;
fungal_forest;§YFungal Forest§!\nNowhere is more famous for its Fungal Forests than Morrowind. Their presence is largely attributed to the humidity of the region and the warmth of Red Mountain. Fungal forests can grow as far north as Dagon Fel and as far south as Black Marsh. They are full of flora and fauna, and some of the region's rarest alchemical ingredients are found amongst these mushroom trees. Telvanni Towers and their surrounding plant cities are typically grown from a variant of these Fungi, whose growth is stimulated by soul gem magick and various other enchantments.;;;;;
woods;§YWoods§!\nWoods terrain represents a loose density of trees scattered around and light underbrush, with only pockets of density. They are easier to navigate than forests, and visibility is decent at a distance.;;;;;
taiga;§YTaiga§!\nTaiga is a type of swampy coniferous forest only found in the far north. Their wood is durable and is used often in Nordic boat-making. Skyrim, Atmora, and Raven Rock are where most Taiga in Tamriel is found.;;;;;
hills;§YHills§!\nHills terrain represents areas dominated by a rolling landscape of shifting elevation that is lower and less steep than mountains. Unlike the highland terrain, hills represent areas with a higher density of trees and underbrush.;;;;;
highlands;§YHighlands§!\nHighlands terrain represents areas dominated by a rolling landscape of shifting elevation that is lower and less steep than mountains. Unlike the hills, terrain highlands represent areas with a low density of trees and underbrush.;;;;;
jungle;§YJungle§!\nJungle terrain represents areas overgrown with dense tropical vegetation, difficult for an army to manoeuvre in.;;;;;
marsh;§YMarsh§!\nMarsh terrain represents tracts of wetland dominated by grasses or low-growing shrubs.;;;;;
mudflats;§YMudflats§!\nMudflats are coastal wetlands that form in inter-tidal areas where sediments have been deposited by tides or rivers. These regions are often found near lakes, rivers, bays and estuaries.;;;;;
bayou;§YBayou§!\nThe Bayou is a swampy region with lots of trees and small patches of land. They are usually connected to a river or freshwater source flowing into them. In Tamriel, most Bayou can be found in Morrowind and Black Marsh. They are difficult to navigate and uncomfortable to live in, making them great spots for smuggling operations.;;;;;
desert;§YDesert§!\nDesert terrain represents desolate and arid areas with little or no vegetation, often in a very warm climate.;;;;;
coastal_desert;§YCoastal Desert§!\nCoastal Desert terrain represents areas where the desert meets the ocean, resulting in a milder and less inhospitable climate.;;;;;
ashlands;§YAshlands§!\nThe Ashlands are continuously created from the regular fall of ash from active volcanos, and the intermittent lava flows that rush down the ravines. Although they seem desolate, the Ashlands are teeming with various types of wildlife and tough plants, and they can fully support the Nomadic lifestyles of many people, including Velothi. Many Daedric temples are found in the Ashlands, and lesser Daedra often wander the region freely.;;;;;
lava;§YLava Flow§!\nAlthough for the most of the time, volcanos are dormant, they still have active lava flows in the immediate area. These regions are nearly impossible to traverse or settle but are full of rich metals fresh from Nirn's crust that make them appealing. Only the Dwemer knew how to permanently build in these regions safely, while the Ashlanders just nomadically roamed around them.;;;;;
barrow;§YBarrow§!\nAtmorans and Nords bury their important dead according to tradition - A burial cavern is dug out, walls and doors built-in, then an important figure and his bodyguard are laid to rest alongside each other for their journey to Sovngarde. Often, Barrows are full of rare treasures, as well as Draugr - unliving ancestors come back to defend their Barrow.;;;;;
dwemer_stronghold;§YDwemer Stronghold§!\nThe Dwemer, or People of the Deep, were a race of mer that preferred to live underground. The dwemer were adept at smithing and enchanting, enabling them to build large underground holds in some of the harshest terrain of all Tamriel, including Red Mountain. Some of the dwemer strongholds in Skyrim are known to connect to each other through the large underground networks that the Blackreach exposed.;;;;;
urban_red_mountain;§YRed Mountain§!\nRed Mountain is a massive volcano at the heart of the Vvardenfell isle. Although mostly dormant, the volcano still has active lava flows and foyadas that the lava rushes down from. This is the harshest environment to survive in all of Tamriel. Red Mountain is also known as The Red Tower, as it hosts the Heart of Lorkhan in its depths and is one of the Sixteen Towers upon which the reality of Nirn is built. The Dwemer named this region Vvardenfell, which means the City of the Strong Shield in the Dwemeris language.;;;;;
urban_mournhold;§YMournhold§!\nMournhold - City of Light, City of Magic! Also known as the City of Gems and the City of Love and Charity. During the Merethic Era, Mournhold competed with Old Ebonheart to be the economic and political capital of Morrowind. After a single family, Clan Ra'Aathim gained control of both cities, Mournhold became the formal capital of the Chimer. Mournhold was also the capital city of the Tribunal God Almalexia and her Daedric anticipation, Boethiah.;;;;;
urban_kogoruhn;§YKogoruhn§!\nKogoruhn means 'Unbreakable Home' in Aldmeris and was the fortress-city capital of House Dagoth. Originally, the region was a safe nomadic spot for the Dagoth Velothi tribe. However, with the invasion of the Nords and their Old Kingdom, a series of fortresses were commissioned around Vvardenfell to protect from the Nords, including Kogoruhn.;;;;;
urban_ald_ruhn;§YAld'Ruhn§!\nAld-Ruhn means Old Home in Aldmeris and was originally a neutral meeting ground for the Ashlander tribes. The settlement grew in and around the shell of a giant Emperor Crab, Skar, who was killed by Dranoth of House Hleran with the help of the four Ashkhans of the major tribes. The noble district of the city is located inside this enormous shell, referred to as 'Under-Skar'. Control of the city was contested between the Great Houses and Ashlanders, but in the 2nd Era, House Redoran took final control and began to formally expand upon the existing sprawl around Skar.;;;;;
urban_necrom;§YNecrom§!\nNecrom, or the City of the Dead, is where the most famous or influential Velothi is buried. According to Velothi tradition (and later Temple tradition), the remains of the deceased are typically cremated and placed in open burial pits for shrine worship or inside burial urns for preservation. Necrom has long been affiliated with the Indoril, the most devout worshippers of the Velothi.;;;;;
urban_narsis;§YNarsis§!\nNarsis-Where-All-Fervently-Praise-the-Prophet-Veloth, most commonly referred to as Narsis, is one of the original settlements of the Velothi. The building of Narsis marked the end of their long lifestyle of nomadic exile and slowly began the process of civilising the Velothi into the Chimer. This city was largely affiliated with the Hlaalu, who used its position near Argonia and Cyrodiil to become a trade centre.;;;;;
urban_tear;§YTear§!\nTear has always been the home of the Dres, who gained significance from their very successful slave raids into nearby Black Marsh. Tear has long been known as the centre of the slave trade in Morrowind and, due to its proximity to Black Marsh, has never lacked slaves. The Dres established a fearsome legacy of trained Argonians whom they used as slave-hunters.;;;;;
urban_telvannis;§YPort Telvannis§!\nPort Telvannis is the isolated island capital of the magical Telvanni. Partially grown and partially built by hand, the city is a shining example of Old Velothi architecture mixed with the uncontrolled fungal growth the Telvanni so love to build with. There are few laws here, as magical supremacy is the only true basis for determining who has authority. Port Telvannis has a hearty slave trade mixed with a vibrant economy of illegal and smuggled goods, all of which the Telvanni tolerate in the name of their independence and pursuit of power.;;;;;
urban_ebonheart;§YEbonheart§!\nEbonheart, also known as the Black City, has been described as the eldest city-state of Morrowind. It is the ancestral holding of Clan Ra'athim, a mixed-heritage Chimer-Nordic family whose wealth came from mining ebony in the region. Ebonheart was the first informal 'capital' of Morrowind and was where the first High Kingship was declared by Moraelyn Ra'athim shortly after pushing the Nords out of Morrowind in 1E416. Ebonheart was a rival of Mournhold during the First Era, competing to be the centre of Morrowind's politics and trade as well as the seat of the High King - when situations allowed for one. Although Mournhold 'won' the rival competition and became the capital, Ebonheart remained an economically powerful city well into the end of the 3rd Era. During these later eras, Ebonheart had an entire Argonian Quarter of the city where the House slaves lived. Permission was given for a Hist to be planted here as well.;;;;;
urban_nchardak;§YNchardak§!\nNchardak was known as the 'City of a Hundred Towers'. It is recorded to be one of the largest and possibly most advanced of the Dwemer Archives, holding vast amounts of dwemer secrets within. Like most dwemer cities, Nchardak itself was a feat of engineering. Using a complex system of pipes and pumps, the hold was able to submerge and emerge its entrances to avoid invasion. Nchardak was also known as a major centre of military production - it was said to be capable of producing a single automaton every day, an achievement no other dwemer hold accomplished.;;;;;
urban_galom_daeus;§YGalom Daeus§!\nGalom Daeus was most notably known for its observatory - the only of its kind to be built on Vvardenfell and one of but a few that the Dwemer were confirmed to have built across all Tamriel. As such, the hold itself would have been a major centre of astrological studies and was likely very closely connected to Kagrenac's broader study of metaphysical law. Dwemer's understanding of the cosmos was not just comprehensive but astounding in most circumstances - It is likely throughout history that only a handful of men and mer have understood as much as Dwemer did about Nirn's complicated universe.;;;;;
urban_kemel_ze;§YKemel-Ze§!\nKemel-Ze, sometimes called the 'Cliff City', was one of the largest Dwemer holds ever constructed. The number of connected chambers suggests it was simultaneously a major centre of population, trade, production, and scientific studies alike. It's possible this city began as much smaller Dwemer holds that ended up merging into one conglomerate over time. The hold itself had a fabled Dwemer-built Observatory in its upper towers, of which only a few in Tamriel existed. Some signs indicate that the hold maintained a regular royal presence or dignitary of a distinguished Dwemer family - perhaps even some sort of 'reserved' quarters for when any ruling authority was visiting, whether they be Mage-Crafter, Dwarf-King or Ashlander Hortator. The most famous expedition into Kemel-Ze revealed a wealth-filled hidden chamber with a frieze on the wall which 'seemed to depict an ancient ritual of some kind, with a long line of classically-bearded Dwarven elders processing down the sidewalls, all seemingly bowing to the giant form of a god carved into the front wall of the chamber, which was caught in the act of stepping forth from the crater of a mountain in a cloud of smoke or steam.' - from 'The Ruins of Kemel-Ze'. This is an indication that some Dwemer here, likely powerful mage-crafters in positions of rank in society, were both aware of and a part of Kagrenac's plan surrounding the Anumidium and its construction.;;;;;
urban_bamz_amschend;§YBamz-Amschend§!\nBamz-Amschend was unique in its location, sitting right next to and eventually underneath the city of Mournhold. It is likely Mournhold started as a major trading centre near the entrance of Bamz-Amschend itself and then built over it after the Dwemer disappearance. Within Bamz-Amschend was a phenomenon of Dwemer engineering - the Karstangz-Bcharn, or 'Weather Witch' as some called it. This device was built during a time of drought and need, bringing rain to the region. It was a versatile device, able to manifest any type of desired weather in the region, including ash storms. This city was also responsible for the construction of Dwemer colossi Automatons, though may have only built them during the War of the First Council as a last-minute defensive measure.;;;;;
urban_forelhost;§YForelhost§!\nForelhost served as a great monastery-fortress for the theocratic Dragon Cult based in Skyrim. Two Dragon Priests and their Masks were stationed here permanently - Rahgot and Vosis. At the end of the Dragon, War Forelhost served as the last holdout of those still loyal to the Cult. It fell to High King Harald, founder of the Kingdom of Skyrim, in 1E139. Before the besiegers could take the monastery, the remaining Cult members all committed suicide, leaving none alive for capture when the Nords finally came through the gates. A grisly scene awaited the attackers, signifying the end of the Dragon Cult's brutal reign in Skyrim.;;;;;
urban_frulthuul;§YFrulthuul§!\nFrulthuul was built by the Dragon Cult during their golden age of expansion. Its construction and architecture are similar to the Cult's other holdings found throughout Skyrim. In the 4th Era, it was occupied by Roscrea's Bear Cult.;;;;;
tundra;§YTundra§!\nTundra is a type of flatland found in the far north. The growth of trees is hindered by low temperatures and short growing seasons. The soil is mostly frozen and rocky, sustaining only durable grasses and cold-weather crops. Without trees, there is no natural protection from the cold wind.;;;;;
mountain_meadows;§YMountain Meadows§!\nThe valleys between high mountaintops experience a drier climate, which allows farming even at higher elevations. The Mountain Meadows offer both grassland and a defensive surrounding.;;;;;
caves;§YCaves§!\nCaves like all natural tunnels throughout Nirn are believed to be the capillaries of the world, pulsing with the divine essence of the Aedric earthbones. Practically they are narrow spaces which restrict visibility and movement. While often bountiful in ores and fungi, they are often dangerous locals.;;;;;
urban_solitude;§YSolitude§!\nSolitude is situated on the highland bluffs of Haafingar. The city is a major trading capital in the Sea of Ghosts, with an expansive and illustrious history that gives it its prominent political power. Solitude is the home of the Bards College, an institute that preserves the ancient Nordic traditions of music and story-telling, as well as Coterie of Organized Scholars, which was one of the oldest scholarly institutions in the region.;;;;;
urban_markarth;§YMarkarth§!\nKnown colloquially as the "City of Stone", Markarth is a former Dwemer city of Nchuand-Zel built through a large stone crag, intricately designed around the cliffs and waterfalls from the environment. Since the region is poor farmland, Markarth is mainly a mining town that has a vast influx of silver veins in the mountain. Since the city is the focal point of power throughout the region, it is often disputed over between the Reachmen and the Nords.;;;;;
